utterance	fragment	start	end	speaker	text
5	0	00:00:04.691	00:00:05.291	Daniel Okonkwo	I enter.
6	0	00:00:03.051	00:00:05.091	Rafael Costa (Vendor)	Hey, Daniel, hey, how are you doing?
7	0	00:00:06.116	00:00:07.956	Daniel Okonkwo	Doing good, mate. Doing good.
8	0	00:00:08.916	00:00:11.716	Rafael Costa (Vendor)	You, you were in, um, I leave right?
9	0	00:00:12.516	00:00:13.636	Daniel Okonkwo	I was, yeah.
12	0	00:00:13.876	00:00:17.251	Rafael Costa (Vendor)	Yeah, yeah. Was it somewhere in the region here or you
12	1	00:00:17.251	00:00:17.876	Rafael Costa (Vendor)	went to...
13	0	00:00:18.556	00:00:22.036	Daniel Okonkwo	No, I went out to Bellhaven, just disappeared. It was good.
14	0	00:00:20.276	00:00:23.316	Rafael Costa (Vendor)	No, yeah.
16	0	00:00:23.796	00:00:26.116	Daniel Okonkwo	I didn't hear someone say Peter and I once.
17	0	00:00:26.676	00:00:26.876	Rafael Costa (Vendor)	Haha.
19	0	00:00:29.076	00:00:30.196	Rafael Costa (Vendor)	Okay, this is good news.
20	0	00:00:31.316	00:00:32.276	Daniel Okonkwo	Yep.
21	0	00:00:34.596	00:00:35.876	Rafael Costa (Vendor)	Hey, Marty, he got it.
23	0	00:00:36.596	00:00:37.076	Martin Vasquez	Omar.
24	0	00:00:37.556	00:00:37.876	Rafael Costa (Vendor)	Yeah.
25	0	00:00:42.396	00:00:42.996	Nadia Ferreira (Vendor)	Hi, everyone.
26	0	00:00:43.716	00:00:44.676	Rafael Costa (Vendor)	Hey, Nadia.
28	0	00:00:49.956	00:00:51.396	Rafael Costa (Vendor)	Agent.
29	0	00:00:48.276	00:00:52.144	Simon Ashcroft	How we going? I've actually, I've got some services down that I need
29	1	00:00:52.144	00:00:55.396	Simon Ashcroft	to look into. Is, am I required for anything here, Rafael?
31	0	00:00:56.116	00:01:00.306	Rafael Costa (Vendor)	Uh, so I, um, I want to recover today the METCO interior
31	1	00:01:00.306	00:01:04.116	Rafael Costa (Vendor)	play scenario and entity upgrade, yeah, so, um...
32	0	00:01:04.596	00:01:06.276	Simon Ashcroft	Not really me then, which is good.
33	0	00:01:06.276	00:01:10.169	Rafael Costa (Vendor)	Yeah, so, Elena, I know that we are we are actually
33	1	00:01:10.169	00:01:14.979	Rafael Costa (Vendor)	discussing other topics, but is it OK to make maybe start with
33	2	00:01:14.979	00:01:18.720	Rafael Costa (Vendor)	this one? I doubt that we will finish before the
33	3	00:01:18.720	00:01:19.636	Rafael Costa (Vendor)	hour, but...
34	0	00:01:19.956	00:01:28.005	Elena Marchetti	Well, while Daniel is here and Ash is here, can we just cover off on the solution for
34	1	00:01:28.005	00:01:29.236	Elena Marchetti	HANDOFF tagged?
35	0	00:01:32.836	00:01:33.556	Elena Marchetti	Traffic.
36	0	00:01:37.076	00:01:39.396	Elena Marchetti	Oh, yeah, go. Yeah, okay.
